age,job,marital,education,housing
51,blue-collar,married,secondary,yes
49,blue-collar,married,unknown,yes
48,management,married,secondary,yes
32,technician,divorced,tertiary,no
31,admin.,single,secondary,yes
55,management,single,tertiary,no
40,blue-collar,single,secondary,yes
47,technician,married,tertiary,yes
57,technician,married,unknown,yes
41,blue-collar,married,secondary,yes
48,blue-collar,married,secondary,no
42,blue-collar,married,unknown,yes
30,blue-collar,single,secondary,yes
58,management,single,tertiary,yes
45,management,divorced,tertiary,yes
49,blue-collar,married,secondary,yes
42,admin.,single,secondary,yes
53,technician,married,secondary,yes
51,admin.,single,secondary,no
32,services,single,secondary,yes
41,blue-collar,single,secondary,yes
43,management,divorced,secondary,yes
40,blue-collar,divorced,secondary,yes
50,blue-collar,married,primary,yes
34,management,married,tertiary,yes
53,services,married,unknown,no
45,technician,married,secondary,yes
39,blue-collar,married,primary,yes
44,services,married,tertiary,yes
55,management,married,tertiary,yes
46,management,single,tertiary,yes
45,blue-collar,married,secondary,yes
34,admin.,married,secondary,yes
36,blue-collar,married,secondary,yes
59,unknown,divorced,unknown,no
31,admin.,single,secondary,yes
44,blue-collar,single,secondary,yes
33,entrepreneur,single,tertiary,yes
40,blue-collar,married,secondary,yes
46,admin.,single,tertiary,yes
48,management,married,tertiary,yes
42,services,married,secondary,yes
27,services,married,secondary,yes
48,admin.,married,secondary,yes
59,admin.,married,secondary,yes
46,technician,married,tertiary,yes
38,admin.,divorced,secondary,yes
43,management,divorced,tertiary,yes
38,admin.,divorced,tertiary,yes
23,student,single,secondary,yes
34,services,married,secondary,yes
38,admin.,married,secondary,yes
37,blue-collar,married,secondary,no
25,admin.,single,secondary,yes
48,blue-collar,married,unknown,yes
49,blue-collar,single,secondary,yes
38,admin.,single,secondary,no
43,blue-collar,married,primary,yes
33,management,married,tertiary,yes
55,blue-collar,married,secondary,yes
38,blue-collar,married,secondary,yes
49,services,married,secondary,yes
40,management,married,secondary,no
43,admin.,married,unknown,no
38,blue-collar,married,secondary,yes
58,services,married,secondary,yes
57,technician,married,unknown,yes
32,unemployed,married,secondary,yes
56,management,married,tertiary,yes
58,blue-collar,divorced,unknown,yes
60,retired,divorced,secondary,yes
37,technician,married,tertiary,yes
46,technician,divorced,tertiary,yes
27,admin.,married,secondary,yes
43,blue-collar,married,secondary,yes
32,technician,single,secondary,yes
40,admin.,single,secondary,yes
38,admin.,married,secondary,no
34,blue-collar,married,secondary,no
47,blue-collar,married,primary,yes
42,housemaid,married,primary,yes
48,technician,married,secondary,yes
29,self-employed,single,tertiary,yes
50,services,married,secondary,yes
52,technician,married,unknown,no
50,management,married,tertiary,no
58,retired,married,tertiary,no
46,blue-collar,divorced,primary,yes
38,technician,married,secondary,yes
46,blue-collar,married,secondary,yes
32,services,single,secondary,yes
51,blue-collar,married,primary,yes
39,admin.,single,secondary,yes
48,admin.,married,secondary,yes
36,entrepreneur,married,tertiary,yes
34,admin.,divorced,secondary,yes
40,technician,married,secondary,no
43,unemployed,married,secondary,yes
52,blue-collar,divorced,primary,yes
33,technician,married,secondary,yes
49,management,single,tertiary,yes
32,management,single,tertiary,yes
39,admin.,single,secondary,yes
40,blue-collar,married,secondary,yes
38,technician,single,tertiary,yes
43,management,married,secondary,yes
39,services,married,secondary,yes
54,blue-collar,married,primary,yes
38,technician,single,tertiary,yes
40,blue-collar,married,secondary,yes
55,admin.,married,secondary,yes
42,management,married,tertiary,yes
39,blue-collar,married,secondary,yes
40,blue-collar,married,primary,yes
32,blue-collar,married,secondary,yes
55,admin.,married,secondary,yes
45,blue-collar,married,secondary,no
35,management,single,tertiary,yes
58,technician,divorced,secondary,no
35,admin.,married,secondary,yes
49,services,married,primary,yes
34,technician,single,tertiary,yes
36,blue-collar,married,secondary,yes
24,self-employed,single,secondary,yes
34,technician,married,secondary,yes
51,admin.,divorced,secondary,yes
39,technician,single,unknown,yes
50,self-employed,married,unknown,yes
32,services,single,secondary,yes
42,blue-collar,married,unknown,yes
50,technician,married,secondary,yes
40,services,married,secondary,no
46,management,divorced,unknown,yes
37,management,married,tertiary,yes
34,blue-collar,married,secondary,yes
44,blue-collar,married,secondary,yes
40,admin.,single,secondary,yes
37,technician,married,secondary,yes
33,blue-collar,single,secondary,no
35,blue-collar,married,secondary,yes
58,blue-collar,divorced,secondary,no
39,blue-collar,married,primary,yes
43,blue-collar,married,secondary,yes
39,unemployed,married,primary,yes
36,services,single,primary,yes
57,retired,single,secondary,no
36,admin.,single,secondary,yes
50,blue-collar,married,primary,yes
55,blue-collar,married,secondary,yes
44,self-employed,married,tertiary,yes
44,services,divorced,secondary,yes
39,housemaid,single,primary,yes
46,blue-collar,married,unknown,yes
39,blue-collar,married,secondary,yes
34,admin.,married,secondary,no
40,blue-collar,married,primary,yes
50,management,married,tertiary,yes
31,management,single,secondary,yes
37,admin.,single,secondary,yes
39,management,single,secondary,yes
51,blue-collar,married,primary,yes
41,technician,married,secondary,yes
41,technician,married,secondary,yes
43,blue-collar,married,secondary,no
30,services,single,secondary,yes
54,management,divorced,primary,no
43,blue-collar,divorced,secondary,yes
59,management,divorced,tertiary,yes
47,technician,married,unknown,yes
40,blue-collar,married,primary,yes
32,technician,married,secondary,yes
29,blue-collar,married,secondary,yes
36,blue-collar,married,secondary,yes
55,unemployed,married,tertiary,no
30,blue-collar,divorced,secondary,yes
39,admin.,single,secondary,yes
39,blue-collar,divorced,secondary,yes
50,blue-collar,divorced,secondary,yes
44,blue-collar,married,secondary,yes
37,technician,single,secondary,yes
46,admin.,married,primary,yes
32,technician,single,unknown,no
37,management,single,tertiary,yes
29,blue-collar,married,secondary,yes
41,blue-collar,married,secondary,yes
45,blue-collar,married,primary,yes
57,retired,divorced,secondary,yes
48,blue-collar,single,secondary,yes
60,retired,married,secondary,no
26,admin.,single,secondary,yes
58,retired,married,secondary,yes
34,admin.,married,secondary,yes
55,unemployed,divorced,secondary,yes
41,blue-collar,married,primary,yes
50,management,divorced,secondary,yes
49,entrepreneur,married,secondary,yes
44,admin.,married,unknown,no
44,blue-collar,married,primary,yes
31,technician,married,secondary,yes
34,blue-collar,single,tertiary,yes
46,management,single,unknown,yes
42,management,married,tertiary,no
52,admin.,married,secondary,yes
29,management,single,tertiary,yes
53,retired,married,primary,yes
43,blue-collar,married,secondary,yes
38,management,married,secondary,yes
46,management,married,tertiary,yes
48,management,divorced,unknown,yes
30,admin.,divorced,secondary,yes
44,blue-collar,married,primary,no
31,housemaid,married,primary,yes
42,services,single,secondary,yes
40,management,single,tertiary,yes
52,admin.,married,secondary,yes
45,blue-collar,divorced,secondary,yes
48,blue-collar,married,secondary,yes
45,blue-collar,married,primary,yes
34,blue-collar,married,unknown,yes
34,blue-collar,married,primary,yes
46,blue-collar,married,secondary,yes
49,services,divorced,secondary,yes
50,technician,married,primary,yes
34,admin.,single,secondary,yes
40,unemployed,single,secondary,yes
36,admin.,married,secondary,yes
59,blue-collar,divorced,unknown,yes
45,blue-collar,married,secondary,yes
36,self-employed,married,tertiary,yes
56,services,married,secondary,yes
42,services,divorced,secondary,yes
30,admin.,married,secondary,yes
30,student,single,tertiary,yes
47,self-employed,married,unknown,yes
33,blue-collar,married,secondary,yes
36,admin.,married,secondary,yes
39,services,divorced,primary,yes
56,admin.,divorced,secondary,yes
39,blue-collar,divorced,unknown,yes
42,technician,married,secondary,yes
52,blue-collar,married,secondary,no
36,admin.,divorced,secondary,yes
35,entrepreneur,married,secondary,yes
47,technician,married,secondary,yes
59,services,divorced,secondary,yes
57,blue-collar,married,primary,yes
38,management,married,unknown,yes
46,unemployed,married,secondary,yes
34,blue-collar,married,secondary,no
28,services,single,secondary,yes
38,technician,married,unknown,yes
56,blue-collar,married,secondary,yes
41,blue-collar,single,primary,yes
52,technician,married,unknown,no
54,services,married,secondary,no
61,retired,married,secondary,yes
53,entrepreneur,married,secondary,no
47,technician,married,secondary,yes
53,blue-collar,married,primary,yes
46,services,married,secondary,yes
39,blue-collar,divorced,primary,yes
56,technician,divorced,secondary,yes
55,services,divorced,primary,yes
44,management,married,tertiary,yes
37,technician,married,primary,yes
35,blue-collar,married,primary,yes
55,blue-collar,married,secondary,yes
37,services,married,secondary,yes
30,technician,single,secondary,yes
37,blue-collar,married,primary,yes
36,technician,single,secondary,yes
38,technician,married,secondary,yes
41,admin.,divorced,primary,yes
48,retired,married,secondary,no
55,services,divorced,secondary,yes
28,services,divorced,secondary,no
54,services,married,secondary,yes
30,blue-collar,married,secondary,no
48,technician,married,tertiary,no
31,self-employed,married,secondary,yes
38,blue-collar,married,secondary,yes
37,blue-collar,married,secondary,yes
37,services,single,unknown,yes
56,blue-collar,married,primary,yes
51,blue-collar,married,secondary,yes
39,blue-collar,married,secondary,yes
49,technician,married,unknown,no
51,blue-collar,married,primary,yes
43,self-employed,married,secondary,yes
32,services,married,secondary,yes
29,technician,single,tertiary,yes
48,management,divorced,tertiary,yes
55,services,married,primary,yes
53,blue-collar,married,secondary,yes
47,technician,married,unknown,yes
39,management,married,tertiary,yes
31,blue-collar,single,tertiary,yes
39,blue-collar,married,primary,yes
40,blue-collar,married,primary,yes
40,technician,single,unknown,yes
48,technician,married,secondary,no
33,technician,divorced,secondary,yes
40,technician,married,secondary,yes
59,retired,married,primary,yes
30,technician,married,secondary,yes
31,management,single,tertiary,yes
35,unemployed,married,secondary,yes
54,technician,divorced,secondary,yes
34,admin.,single,unknown,yes
32,technician,married,secondary,yes
56,admin.,divorced,unknown,yes
32,admin.,single,tertiary,yes
42,blue-collar,married,primary,yes
33,services,married,tertiary,no
52,entrepreneur,married,tertiary,yes
52,services,married,secondary,no
52,blue-collar,divorced,primary,yes
30,unemployed,divorced,secondary,yes
44,services,divorced,secondary,yes
35,admin.,married,secondary,yes
55,management,single,secondary,yes
33,blue-collar,married,primary,yes
37,blue-collar,single,secondary,yes
42,technician,single,secondary,yes
43,unemployed,married,secondary,yes
38,entrepreneur,married,tertiary,yes
37,technician,married,secondary,yes
31,student,single,secondary,yes
41,management,married,tertiary,yes
41,technician,married,secondary,yes
29,student,single,secondary,yes
38,admin.,single,secondary,yes
44,self-employed,divorced,tertiary,yes
39,admin.,married,secondary,yes
28,technician,single,secondary,yes
33,blue-collar,married,secondary,yes
41,services,married,unknown,no
40,blue-collar,married,primary,yes
29,admin.,married,secondary,yes
38,management,married,unknown,yes
32,admin.,married,tertiary,yes
45,services,married,secondary,yes
33,admin.,single,secondary,yes
34,blue-collar,married,secondary,yes
41,entrepreneur,married,unknown,yes
41,blue-collar,married,secondary,yes
35,admin.,single,secondary,yes
40,technician,single,secondary,yes
60,self-employed,married,primary,yes
47,services,divorced,secondary,yes
46,blue-collar,married,primary,yes
31,blue-collar,single,secondary,yes
49,self-employed,married,secondary,yes
29,blue-collar,married,secondary,yes
31,management,single,tertiary,yes
38,management,married,tertiary,yes
37,blue-collar,married,primary,yes
35,technician,married,secondary,yes
31,management,single,secondary,yes
41,admin.,married,secondary,yes
46,services,married,unknown,yes
40,services,divorced,secondary,yes
29,admin.,married,secondary,yes
49,admin.,married,secondary,yes
42,management,married,tertiary,yes
54,services,married,secondary,yes
40,management,single,tertiary,yes
53,admin.,married,secondary,yes
49,management,married,tertiary,yes
40,blue-collar,married,primary,yes
29,student,single,secondary,yes
36,blue-collar,married,primary,yes
37,technician,married,secondary,yes
39,services,married,secondary,yes
36,technician,married,secondary,yes
44,entrepreneur,married,tertiary,yes
40,admin.,married,secondary,yes
49,blue-collar,married,secondary,yes
30,technician,single,unknown,yes
57,management,married,tertiary,yes
24,services,single,secondary,yes
46,blue-collar,married,unknown,yes
33,admin.,married,secondary,no
43,services,divorced,secondary,yes
43,admin.,single,secondary,yes
40,blue-collar,divorced,primary,no
44,technician,single,unknown,yes
35,technician,single,tertiary,yes
47,technician,married,secondary,yes
33,blue-collar,married,secondary,yes
31,admin.,married,secondary,yes
40,blue-collar,divorced,secondary,yes
36,entrepreneur,married,tertiary,yes
56,retired,divorced,primary,yes
40,admin.,single,unknown,yes
41,admin.,divorced,secondary,yes
53,retired,married,secondary,yes
39,blue-collar,married,secondary,yes
44,blue-collar,divorced,secondary,yes
38,admin.,married,secondary,yes
54,technician,divorced,secondary,yes
58,management,married,tertiary,yes
52,blue-collar,married,primary,yes
28,admin.,single,secondary,yes
36,blue-collar,married,secondary,yes
60,retired,married,primary,yes
42,services,divorced,secondary,yes
42,admin.,married,secondary,yes
44,management,married,tertiary,yes
51,blue-collar,divorced,primary,yes
49,blue-collar,married,primary,yes
47,entrepreneur,married,unknown,yes
37,blue-collar,married,secondary,yes
34,management,married,tertiary,yes
35,services,married,secondary,yes
35,blue-collar,single,secondary,yes
40,blue-collar,married,primary,yes
55,technician,married,secondary,no
55,retired,married,secondary,yes
35,management,single,tertiary,yes
57,blue-collar,married,primary,yes
53,management,married,tertiary,yes
41,blue-collar,married,primary,yes
57,blue-collar,married,unknown,yes
45,blue-collar,married,unknown,yes
43,blue-collar,married,primary,yes
56,self-employed,married,unknown,no
31,entrepreneur,married,tertiary,yes
37,blue-collar,single,secondary,yes
30,management,married,tertiary,yes
30,admin.,single,secondary,yes
54,blue-collar,married,secondary,yes
36,management,married,tertiary,yes
55,unemployed,married,tertiary,no
37,admin.,single,secondary,yes
38,housemaid,married,secondary,yes
48,admin.,married,secondary,yes
55,housemaid,divorced,tertiary,yes
59,services,married,secondary,yes
37,technician,married,secondary,yes
33,blue-collar,divorced,secondary,no
44,blue-collar,married,primary,yes
57,technician,married,secondary,yes
30,self-employed,single,tertiary,no
42,technician,married,tertiary,yes
51,blue-collar,divorced,secondary,yes
44,admin.,divorced,secondary,yes
46,technician,married,secondary,no
29,student,single,secondary,yes
39,blue-collar,married,primary,yes
42,services,married,secondary,yes
50,blue-collar,married,primary,yes
42,technician,single,secondary,yes
39,admin.,married,secondary,yes
55,technician,single,tertiary,yes
46,services,married,secondary,yes
42,blue-collar,married,secondary,yes
45,management,married,tertiary,yes
43,blue-collar,married,primary,yes
42,admin.,married,secondary,yes
30,admin.,married,secondary,no
47,blue-collar,married,secondary,yes
51,services,divorced,secondary,yes
38,technician,single,secondary,yes
57,technician,married,unknown,yes
42,management,divorced,tertiary,yes
32,technician,divorced,secondary,yes
46,management,married,tertiary,no
29,student,single,tertiary,yes
59,retired,married,secondary,yes
32,blue-collar,single,secondary,yes
44,blue-collar,married,primary,yes
40,retired,married,primary,yes
31,blue-collar,single,secondary,yes
46,self-employed,married,tertiary,yes
43,management,married,tertiary,yes
34,services,married,secondary,yes
39,management,married,tertiary,yes
30,blue-collar,divorced,secondary,yes
56,retired,married,secondary,yes
29,technician,married,secondary,no
40,blue-collar,divorced,secondary,yes
36,services,married,secondary,yes
37,blue-collar,single,secondary,yes
35,admin.,married,secondary,no
35,blue-collar,married,primary,yes
47,services,married,primary,yes
31,services,married,secondary,yes
56,retired,single,primary,yes
57,technician,married,secondary,no
36,blue-collar,married,secondary,yes
45,self-employed,divorced,secondary,yes
47,blue-collar,married,unknown,yes
29,technician,single,tertiary,yes
57,services,married,secondary,no
45,blue-collar,married,primary,yes
31,blue-collar,single,primary,yes
31,management,divorced,tertiary,yes
37,technician,single,tertiary,no
30,technician,single,tertiary,yes
58,services,divorced,secondary,yes
33,services,married,secondary,yes
39,blue-collar,married,primary,yes
33,blue-collar,single,primary,yes
34,services,married,secondary,yes
36,services,divorced,secondary,yes
37,services,single,secondary,yes
35,blue-collar,married,secondary,yes
55,retired,married,secondary,yes
34,management,single,tertiary,yes
40,management,divorced,tertiary,yes
42,blue-collar,single,primary,yes
37,blue-collar,married,secondary,yes
42,management,married,tertiary,yes
35,technician,single,secondary,yes
44,technician,divorced,secondary,yes
30,services,single,secondary,yes
45,entrepreneur,married,secondary,yes
35,blue-collar,single,unknown,yes
36,admin.,divorced,secondary,yes
49,blue-collar,married,secondary,yes
31,blue-collar,single,secondary,yes
31,technician,single,secondary,yes
39,blue-collar,married,secondary,yes
37,services,single,secondary,yes
33,blue-collar,married,primary,yes
37,management,married,tertiary,yes
42,services,married,secondary,yes
56,blue-collar,married,secondary,yes
37,admin.,single,secondary,yes
36,services,single,secondary,yes
29,technician,single,tertiary,yes
54,management,married,tertiary,yes
38,blue-collar,married,secondary,yes
43,blue-collar,divorced,secondary,yes
47,admin.,single,secondary,yes
47,blue-collar,married,secondary,yes
38,services,married,secondary,yes
40,blue-collar,married,secondary,yes
33,services,divorced,secondary,yes
33,retired,married,secondary,no
53,admin.,divorced,unknown,yes
37,services,married,primary,yes
40,management,single,tertiary,yes
37,blue-collar,married,primary,yes
35,technician,married,secondary,yes
49,blue-collar,married,primary,yes
26,blue-collar,single,secondary,yes
38,management,single,tertiary,yes
52,self-employed,married,secondary,no
33,services,divorced,secondary,yes
31,admin.,single,secondary,yes
32,blue-collar,married,secondary,yes
35,blue-collar,single,primary,yes
55,management,divorced,tertiary,no
32,blue-collar,divorced,primary,yes
37,unknown,single,unknown,yes
45,blue-collar,married,secondary,yes
31,technician,married,secondary,yes
38,admin.,married,secondary,yes
37,services,married,secondary,yes
38,blue-collar,married,secondary,yes
33,housemaid,married,tertiary,yes
38,blue-collar,married,primary,yes
37,management,single,tertiary,yes
29,unemployed,married,tertiary,yes
42,management,married,tertiary,yes
40,blue-collar,married,secondary,yes
32,management,married,tertiary,yes
47,management,divorced,tertiary,no
29,student,single,secondary,yes
53,services,divorced,primary,yes
31,services,married,tertiary,yes
59,blue-collar,married,secondary,yes
29,entrepreneur,married,primary,yes
59,blue-collar,married,primary,yes
44,blue-collar,married,primary,yes
38,admin.,single,secondary,yes
49,admin.,married,secondary,yes
43,blue-collar,married,secondary,yes
52,admin.,single,secondary,yes
40,admin.,married,secondary,yes
32,services,married,secondary,yes
47,admin.,married,primary,yes
33,management,married,tertiary,yes
35,management,married,tertiary,yes
27,services,single,secondary,yes
50,blue-collar,married,primary,yes
44,retired,married,secondary,no
43,self-employed,married,primary,yes
51,blue-collar,married,unknown,yes
32,admin.,single,secondary,yes
47,management,divorced,tertiary,yes
34,admin.,divorced,secondary,yes
57,self-employed,married,primary,yes
43,admin.,single,secondary,yes
40,services,single,tertiary,yes
28,blue-collar,single,secondary,yes
38,blue-collar,married,unknown,yes
37,unemployed,divorced,secondary,yes
44,admin.,married,secondary,yes
